	sequences per sample	iteration	sample1	sample2	sample3	sample4	sample5	sample6
alpha_rarefaction_2775_0.biom	2775	0	222.0	345.0	469.0	468.0	469.0	469.0
alpha_rarefaction_2775_1.biom	2775	1	222.0	345.0	469.0	468.0	469.0	469.0
alpha_rarefaction_2775_2.biom	2775	2	222.0	345.0	467.0	469.0	468.0	469.0
alpha_rarefaction_2775_3.biom	2775	3	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_2775_4.biom	2775	4	222.0	344.0	469.0	468.0	469.0	469.0
alpha_rarefaction_2775_5.biom	2775	5	222.0	345.0	469.0	468.0	469.0	468.0
alpha_rarefaction_2775_6.biom	2775	6	222.0	345.0	468.0	469.0	469.0	469.0
alpha_rarefaction_2775_7.biom	2775	7	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_2775_8.biom	2775	8	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_2775_9.biom	2775	9	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3170_0.biom	3170	0	222.0	345.0	469.0	468.0	469.0	469.0
alpha_rarefaction_3170_1.biom	3170	1	222.0	345.0	469.0	469.0	468.0	469.0
alpha_rarefaction_3170_2.biom	3170	2	222.0	344.0	469.0	469.0	469.0	468.0
alpha_rarefaction_3170_3.biom	3170	3	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3170_4.biom	3170	4	222.0	345.0	468.0	469.0	469.0	469.0
alpha_rarefaction_3170_5.biom	3170	5	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3170_6.biom	3170	6	222.0	345.0	469.0	469.0	469.0	468.0
alpha_rarefaction_3170_7.biom	3170	7	222.0	345.0	468.0	469.0	469.0	469.0
alpha_rarefaction_3170_8.biom	3170	8	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3170_9.biom	3170	9	222.0	345.0	469.0	468.0	469.0	468.0
alpha_rarefaction_3565_0.biom	3565	0	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_1.biom	3565	1	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_2.biom	3565	2	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_3.biom	3565	3	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_4.biom	3565	4	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_5.biom	3565	5	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_6.biom	3565	6	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_7.biom	3565	7	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_8.biom	3565	8	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3565_9.biom	3565	9	222.0	345.0	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_0.biom	3960	0	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_1.biom	3960	1	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_2.biom	3960	2	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_3.biom	3960	3	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_4.biom	3960	4	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_5.biom	3960	5	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_6.biom	3960	6	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_7.biom	3960	7	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_8.biom	3960	8	n/a	n/a	469.0	469.0	469.0	469.0
alpha_rarefaction_3960_9.biom	3960	9	n/a	n/a	469.0	469.0	469.0	469.0
